id,premium,name,department,has_test,response_letter_required,area,salary,type,address,response_url,sort_point_distance,published_at,created_at,archived,apply_alternate_url,show_logo_in_search,insider_interview,url,alternate_url,relations,employer,snippet,contacts,schedule,working_days,working_time_intervals,working_time_modes,accept_temporary,professional_roles,accept_incomplete_resumes,experience,employment,adv_response_url,is_adv_vacancy,branding
86571284,False,"Data Scientist (стажер), удаленно",,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': None, 'to': 15000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2023-09-11T23:57:33+0300,2023-09-11T23:57:33+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=86571284,,,https://api.hh.ru/vacancies/86571284?host=hh.ru,https://hh.ru/vacancy/86571284,[],"{'id': '10073113', 'name': 'Дунаев Михаил Алексеевич', 'url': 'https://api.hh.ru/employers/10073113', 'alternate_url': 'https://hh.ru/employer/10073113', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/1129772.png', '90': 'https://hhcdn.ru/employer-logo/6139677.png', '240': 'https://hhcdn.ru/employer-logo/6139678.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=10073113', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Сильное и стойкое желание развиваться как <highlighttext>Data</highlighttext> Scientist. Базовые знания Python. Базовые знания алгоритмов машинного обучения. Хорошо развитое логическое мышление...', 'responsibility': 'Проводить ad-hoc <highlighttext>аналитику</highlighttext> (отвечать на вопросы: как, что и почему повлияло на результат в определенный момент времени). '}",,,[],"[{'id': 'from_four_to_six_hours_in_a_day', 'name': 'Можно работать сменами по\xa04–6 часов в\xa0день'}]","[{'id': 'start_after_sixteen', 'name': 'Можно начинать работать после 16:00'}]",False,"[{'id': '96', 'name': 'Программист, разработчик'}]",False,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'probation', 'name': 'Стажировка'}",,False,
87273897,False,Data Analyst,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2023-09-25T11:40:32+0300,2023-09-25T11:40:32+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=87273897,,,https://api.hh.ru/vacancies/87273897?host=hh.ru,https://hh.ru/vacancy/87273897,[],"{'id': '588914', 'name': 'Aviasales.ru', 'url': 'https://api.hh.ru/employers/588914', 'alternate_url': 'https://hh.ru/employer/588914', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/785631.png', '240': 'https://hhcdn.ru/employer-logo/3583416.png', '90': 'https://hhcdn.ru/employer-logo/3583415.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=588914', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт построения системы дашбордов. Опыт разработки методологии показателей. Опыт работы с DWH: умение правильно писать запросы, чтобы оптимизировать этот процесс...', 'responsibility': 'Построение и поддержка дашбордов. Построение регулярных и кастомных выгрузок для клиентов. Формирование методологии сбора данных (какие данные и для чего...'}",,,[],[],[],False,"[{'id': '156', 'name': 'BI-аналитик, аналитик данных'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False,
87271975,False,Political analyst,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'anonymous', 'name': 'Анонимная'}",,,,2023-09-25T11:20:54+0300,2023-09-25T11:20:54+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=87271975,,,https://api.hh.ru/vacancies/87271975?host=hh.ru,https://hh.ru/vacancy/87271975,[],"{'name': 'Political Analyst', 'trusted': True}","{'requirement': 'Bachelor’s degree in Political Sciences, International Relations, Middle East and North African Studies, diplomacy, governance or another relevant major...', 'responsibility': 'Preparing briefing material, speaking points and speeches in advance of meetings and events. Collect and analyze <highlighttext>data</highlighttext>, prepare studies related...'}",,,[],[],[],False,"[{'id': '40', 'name': 'Другое'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False,
86195321,False,Junior Data Scientist,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2023-09-04T12:29:00+0300,2023-09-04T12:29:00+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=86195321,True,,https://api.hh.ru/vacancies/86195321?host=hh.ru,https://hh.ru/vacancy/86195321,[],"{'id': '116803', 'name': 'Бюро кредитных историй Скоринг Бюро', 'url': 'https://api.hh.ru/employers/116803', 'alternate_url': 'https://hh.ru/employer/116803', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/1055291.png', '90': 'https://hhcdn.ru/employer-logo/5841805.png', '240': 'https://hhcdn.ru/employer-logo/5841806.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=116803', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высшее техническое образование. Аналитический склад ума. Желание разбираться в данных. Понимание математической статистики и теории вероятностей. Опыт аналитической работы с...', 'responsibility': 'Создание, обработка и распространение кредитных историй и отчетов по заемщикам. Защита конфиденциальной информации. Предоставление аналитических услуг для банков и компаний. '}",,,[],[],[],False,"[{'id': '165', 'name': 'Дата-сайентист'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False,"{'type': 'MAKEUP', 'tariff': None}"
87265216,False,Юрист,,True,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}",,,,2023-09-25T10:05:53+0300,2023-09-25T10:05:53+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=87265216,,,https://api.hh.ru/vacancies/87265216?host=hh.ru,https://hh.ru/vacancy/87265216,[],"{'id': '2869446', 'name': 'Skillfactory', 'url': 'https://api.hh.ru/employers/2869446', 'alternate_url': 'https://hh.ru/employer/2869446', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/1076070.png', '240': 'https://hhcdn.ru/employer-logo/5924910.png', '90': 'https://hhcdn.ru/employer-logo/5924909.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2869446', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Имеет высшее юридическое образование и опыт работы юристом от 2 лет. Опыт самостоятельного сопровождения судебных дел и участия в судебных...', 'responsibility': 'Школа <highlighttext>Data</highlighttext> Science, программирования и <highlighttext>аналитики</highlighttext> данных Skillfactory. Школа дизайна Contented. Skillfactory Высшее образование - сервис по созданию онлайн-магистратур совместно...'}",,,[],[],[],False,"[{'id': '146', 'name': 'Юрист'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False,
87156564,False,Стажер (информационные технологии),,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': None, 'street': None, 'building': None, 'lat': None, 'lng': None, 'description': None, 'raw': 'Москва, м. Кузнецкий мост', 'metro': None, 'metro_stations': [], 'id': '244895'}",,,2023-09-21T13:59:26+0300,2023-09-21T13:59:26+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=87156564,True,,https://api.hh.ru/vacancies/87156564?host=hh.ru,https://hh.ru/vacancy/87156564,[],"{'id': '47858', 'name': 'Центральный банк Российской Федерации', 'url': 'https://api.hh.ru/employers/47858', 'alternate_url': 'https://hh.ru/employer/47858', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/1056422.png', '90': 'https://hhcdn.ru/employer-logo/5846329.png', '240': 'https://hhcdn.ru/employer-logo/5846330.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=47858', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Студенты в том числе последних и предпоследних курсов бакалавриата, специалитета и магистратуры. Знаете анализ и структурирование данных, имеете общие представления...', 'responsibility': 'Разрабатывать средства автоматизации по учету контрольных мероприятий. Внедрять машинное обучение в бизнес процессы. Разрабатывать и апробировать тестовые наборы данных. '}",,,[],[],[],False,"[{'id': '10', 'name': 'Аналитик'}]",False,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'part', 'name': 'Частичная занятость'}",,False,"{'type': 'MAKEUP', 'tariff': None}"
85948447,False,Ручной тестировщик ПО / QA manual (Remote),,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 120000, 'to': 150000, 'currency': 'RUR', 'gross': False}","{'id': 'open', 'name': 'Открытая'}",,,,2023-08-29T13:32:23+0300,2023-08-29T13:32:23+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=85948447,,,https://api.hh.ru/vacancies/85948447?host=hh.ru,https://hh.ru/vacancy/85948447,[],"{'id': '803057', 'name': 'Netex24', 'url': 'https://api.hh.ru/employers/803057', 'alternate_url': 'https://hh.ru/employer/803057', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/501065.png', '90': 'https://hhcdn.ru/employer-logo/2446013.png', '240': 'https://hhcdn.ru/employer-logo/2446014.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=803057', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Опыт функционального тестирования. Опыт мануального тестирования. Понимание процессов разработки ПО, роли тестировщика. Опыт в разработке тестовой документации: тест-кейсы и...', 'responsibility': 'Тестирование ПО и разработка тестовой документации по крипто обменнику Netex24.'}",,,[],[],[],False,"[{'id': '124', 'name': 'Тестировщик'}]",False,"{'id': 'between3And6', 'name': 'От 3 до 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False,
86742939,False,Аналитик данных,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': None, 'to': 220000, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}",,,,2023-09-14T19:00:00+0300,2023-09-14T19:00:00+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=86742939,,,https://api.hh.ru/vacancies/86742939?host=hh.ru,https://hh.ru/vacancy/86742939,[],"{'id': '2223982', 'name': 'Rubbles', 'url': 'https://api.hh.ru/employers/2223982', 'alternate_url': 'https://hh.ru/employer/2223982', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/886758.png', '240': 'https://hhcdn.ru/employer-logo/3987732.png', '90': 'https://hhcdn.ru/employer-logo/3987731.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=2223982', 'accredited_it_employer': True, 'trusted': True}","{'requirement': 'Базовые навыки работы с табличными данными, знание SQL. Базовые знания в <highlighttext>аналитике</highlighttext>, проверке гипотез, умение построить доверительные интервалы для метрик...', 'responsibility': 'Разобраться в данных, сделать из них правильные выводы. Построить качественные предположения/гипотезы и проверить их. Понять причинно-следственные связи в...'}",,,[],[],[],False,"[{'id': '10', 'name': 'Аналитик'}]",False,"{'id': 'between1And3', 'name': 'От 1 года до 3 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False,
87278574,False,Финансовый директор,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}",,"{'id': 'open', 'name': 'Открытая'}","{'city': 'Москва', 'street': 'Мытная улица', 'building': '66', 'lat': 55.713136, 'lng': 37.620222, 'description': None, 'raw': 'Москва, Мытная улица, 66', 'metro': {'station_name': 'Тульская', 'line_name': 'Серпуховско-Тимирязевская', 'station_id': '9.142', 'line_id': '9', 'lat': 55.70961, 'lng': 37.622569}, 'metro_stations': [{'station_name': 'Тульская', 'line_name': 'Серпуховско-Тимирязевская', 'station_id': '9.142', 'line_id': '9', 'lat': 55.70961, 'lng': 37.622569}, {'station_name': 'Шаболовская', 'line_name': 'Калужско-Рижская', 'station_id': '6.157', 'line_id': '6', 'lat': 55.718828, 'lng': 37.607892}], 'id': '815280'}",,,2023-09-25T12:30:34+0300,2023-09-25T12:30:34+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=87278574,,,https://api.hh.ru/vacancies/87278574?host=hh.ru,https://hh.ru/vacancy/87278574,[],"{'id': '941273', 'name': 'Voximplant', 'url': 'https://api.hh.ru/employers/941273', 'alternate_url': 'https://hh.ru/employer/941273', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/517483.png', '240': 'https://hhcdn.ru/employer-logo/2511410.png', '90': 'https://hhcdn.ru/employer-logo/2511409.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=941273', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Вы работали на релевантной роли (Head of Finance, VP of Finance) в динамичной и быстрорастущей компании предпочтительно в сфере ИТ...', 'responsibility': 'Управлять командой 20+ человек: бухгалтерия, финансисты, юристы, <highlighttext>аналитики</highlighttext>. Отвечать за развитие команды, эффективно распределять задачи и ресурсы внутри юнитов. '}",,,[],[],[],False,"[{'id': '135', 'name': 'Финансовый директор (CFO)'}]",False,"{'id': 'moreThan6', 'name': 'Более 6 лет'}","{'id': 'full', 'name': 'Полная занятость'}",,False,
86728622,False,Junior data analyst,,False,False,"{'id': '1', 'name': 'Москва', 'url': 'https://api.hh.ru/areas/1'}","{'from': 70000, 'to': 90000, 'currency': 'RUR', 'gross': True}","{'id': 'open', 'name': 'Открытая'}",,,,2023-09-14T15:00:49+0300,2023-09-14T15:00:49+0300,False,https://hh.ru/applicant/vacancy_response?vacancyId=86728622,,,https://api.hh.ru/vacancies/86728622?host=hh.ru,https://hh.ru/vacancy/86728622,[],"{'id': '9286719', 'name': 'Кадровое агентство АНО РСВ', 'url': 'https://api.hh.ru/employers/9286719', 'alternate_url': 'https://hh.ru/employer/9286719', 'logo_urls': {'original': 'https://hhcdn.ru/employer-logo-original/1083280.png', '240': 'https://hhcdn.ru/employer-logo/5953750.png', '90': 'https://hhcdn.ru/employer-logo/5953749.png'}, 'vacancies_url': 'https://api.hh.ru/vacancies?employer_id=9286719', 'accredited_it_employer': False, 'trusted': True}","{'requirement': 'Высшее оконченное образование по направлению экономика, финансы и кредит, мировая экономика и схожие направления. Высокие навыки работы с MS Office...', 'responsibility': 'Разработка информационно-аналитических материалов на основе больших данных информационных систем министерства и внешних источников. Контроль ведения справочников НСИ, ETL-задач. '}",,,[],[],[],False,"[{'id': '156', 'name': 'BI-аналитик, аналитик данных'}]",False,"{'id': 'noExperience', 'name': 'Нет опыта'}","{'id': 'full', 'name': 'Полная занятость'}",,False,
